dataset,method,seed,metric,quantile,value
D17 Human_Kidney_Cancer,SEACells,1,hhi,0.5,0.01753104455807159
D17 Human_Kidney_Cancer,SEACells,1,hhi,0.95,0.01972242512783054
D17 Human_Kidney_Cancer,SEACells,1,hhi,0.99,0.021183345507669836
D17 Human_Kidney_Cancer,SEACells,1,normalized_hhi,0.01,0.0006987010512274983
D17 Human_Kidney_Cancer,SEACells,1,normalized_hhi,0.05,0.001013922353172055
D17 Human_Kidney_Cancer,SEACells,1,normalized_hhi,0.5,0.0018991964937910928
D17 Human_Kidney_Cancer,SEACells,1,normalized_hhi,0.95,0.003281083476032529
D17 Human_Kidney_Cancer,SEACells,1,normalized_hhi,0.99,0.004076737451737469
D17 Human_Kidney_Cancer,SEACells,2,max_purity,0.01,0.05
D17 Human_Kidney_Cancer,SEACells,2,max_purity,0.05,0.058823529411764705
D17 Human_Kidney_Cancer,SEACells,2,max_purity,0.5,0.1
D17 Human_Kidney_Cancer,SEACells,2,max_purity,0.95,0.25
D17 Human_Kidney_Cancer,SEACells,2,max_purity,0.99,0.3333333333333333
D17 Human_Kidney_Cancer,SEACells,2,max_fold_enrichment,0.01,10.907432432432433
D17 Human_Kidney_Cancer,SEACells,2,max_fold_enrichment,0.05,12.832273449920509
D17 Human_Kidney_Cancer,SEACells,2,max_fold_enrichment,0.5,21.814864864864866
D17 Human_Kidney_Cancer,SEACells,2,max_fold_enrichment,0.95,54.53716216216216
D17 Human_Kidney_Cancer,SEACells,2,max_fold_enrichment,0.99,72.71621621621621
D17 Human_Kidney_Cancer,SEACells,2,top1_capture,0.01,0.013513513513513514
D17 Human_Kidney_Cancer,SEACells,2,top1_capture,0.05,0.013513513513513514
D17 Human_Kidney_Cancer,SEACells,2,top1_capture,0.5,0.013513513513513514
D17 Human_Kidney_Cancer,SEACells,2,top1_capture,0.95,0.02702702702702703
D17 Human_Kidney_Cancer,SEACells,2,top1_capture,0.99,0.04054054054054054
D17 Human_Kidney_Cancer,SEACells,2,top3_capture,0.01,0.04054054054054054
D17 Human_Kidney_Cancer,SEACells,2,top3_capture,0.05,0.04054054054054054
D17 Human_Kidney_Cancer,SEACells,2,top3_capture,0.5,0.05405405405405406
D17 Human_Kidney_Cancer,SEACells,2,top3_capture,0.95,0.08108108108108109
D17 Human_Kidney_Cancer,SEACells,2,top3_capture,0.99,0.0945945945945946
D17 Human_Kidney_Cancer,SEACells,2,hhi,0.01,0.01497443389335282
D17 Human_Kidney_Cancer,SEACells,2,hhi,0.05,0.015704894083272466
D17 Human_Kidney_Cancer,SEACells,2,hhi,0.5,0.01753104455807159
D17 Human_Kidney_Cancer,SEACells,2,hhi,0.95,0.019722425127830543
D17 Human_Kidney_Cancer,SEACells,2,hhi,0.99,0.021183345507669836
D17 Human_Kidney_Cancer,SEACells,2,normalized_hhi,0.01,0.0006987010512274983
D17 Human_Kidney_Cancer,SEACells,2,normalized_hhi,0.05,0.001013922353172055
D17 Human_Kidney_Cancer,SEACells,2,normalized_hhi,0.5,0.0019362992335965339
D17 Human_Kidney_Cancer,SEACells,2,normalized_hhi,0.95,0.003281083476032529
D17 Human_Kidney_Cancer,SEACells,2,normalized_hhi,0.99,0.004282617403803111
D17 Human_Kidney_Cancer,KMeans,0,max_purity,0.01,0.03773584905660377
D17 Human_Kidney_Cancer,KMeans,0,max_purity,0.05,0.0425531914893617
D17 Human_Kidney_Cancer,KMeans,0,max_purity,0.5,0.058823529411764705
D17 Human_Kidney_Cancer,KMeans,0,max_purity,0.95,0.08695652173913043
D17 Human_Kidney_Cancer,KMeans,0,max_purity,0.99,0.25
D17 Human_Kidney_Cancer,KMeans,0,max_fold_enrichment,0.01,8.232024477307496
D17 Human_Kidney_Cancer,KMeans,0,max_fold_enrichment,0.05,9.282921219091431
D17 Human_Kidney_Cancer,KMeans,0,max_fold_enrichment,0.5,12.832273449920509
D17 Human_Kidney_Cancer,KMeans,0,max_fold_enrichment,0.95,18.969447708578144
D17 Human_Kidney_Cancer,KMeans,0,max_fold_enrichment,0.99,54.53716216216216
D17 Human_Kidney_Cancer,KMeans,0,top1_capture,0.01,0.013513513513513514
D17 Human_Kidney_Cancer,KMeans,0,top1_capture,0.05,0.013513513513513514
D17 Human_Kidney_Cancer,KMeans,0,top1_capture,0.5,0.02702702702702703
D17 Human_Kidney_Cancer,KMeans,0,top1_capture,0.95,0.04054054054054054
D17 Human_Kidney_Cancer,KMeans,0,top1_capture,0.99,0.05405405405405406
D17 Human_Kidney_Cancer,KMeans,0,top3_capture,0.01,0.05405405405405406
D17 Human_Kidney_Cancer,KMeans,0,top3_capture,0.05,0.05405405405405406
D17 Human_Kidney_Cancer,KMeans,0,top3_capture,0.5,0.08108108108108109
D17 Human_Kidney_Cancer,KMeans,0,top3_capture,0.95,0.10810810810810811
D17 Human_Kidney_Cancer,KMeans,0,top3_capture,0.99,0.12162162162162163
D17 Human_Kidney_Cancer,KMeans,0,hhi,0.01,0.014609203798392994
D17 Human_Kidney_Cancer,KMeans,0,hhi,0.05,0.015339663988312642
D17 Human_Kidney_Cancer,KMeans,0,hhi,0.5,0.01680058436815194
D17 Human_Kidney_Cancer,KMeans,0,hhi,0.95,0.018991964937910888
D17 Human_Kidney_Cancer,KMeans,0,hhi,0.99,0.01972242512783054
D17 Human_Kidney_Cancer,KMeans,0,normalized_hhi,0.01,0.0005321924240843216
D17 Human_Kidney_Cancer,KMeans,0,normalized_hhi,0.05,0.0008593649293172392
D17 Human_Kidney_Cancer,KMeans,0,normalized_hhi,0.5,0.0015328596409677525
D17 Human_Kidney_Cancer,KMeans,0,normalized_hhi,0.95,0.0027361305419024177
D17 Human_Kidney_Cancer,KMeans,0,normalized_hhi,0.99,0.003384487681784989
D17 Human_Kidney_Cancer,KMeans,1,max_purity,0.01,0.03773584905660377
D17 Human_Kidney_Cancer,KMeans,1,max_purity,0.05,0.043478260869565216
D17 Human_Kidney_Cancer,KMeans,1,max_purity,0.5,0.05555555555555555
D17 Human_Kidney_Cancer,KMeans,1,max_purity,0.95,0.08
D17 Human_Kidney_Cancer,KMeans,1,max_purity,0.99,0.1
D17 Human_Kidney_Cancer,KMeans,1,max_fold_enrichment,0.01,8.232024477307496
