dataset,method,seed,requested_K,realized_K,metacell_id,metacell_size,mast_count,mast_purity,background_abundance,fold_enrichment,fisher_p,fisher_q,is_mast_containing,is_associated,is_majority_dominated,is_high_purity
D17 Human_Kidney_Cancer,KMeans,1,323,323,278,23,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,164,59,1,0.01694915254237288,0.004584030229820975,3.6974347228584517,0.23781720436634482,1.0,True,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,285,38,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,92,73,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,64,59,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,314,36,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,3,28,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,25,41,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,280,44,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,82,30,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,235,33,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,184,35,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,81,61,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,33,41,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,232,44,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,132,53,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,4,30,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,161,63,1,0.015873015873015872,0.004584030229820975,3.4626769626769627,0.25174873031429323,1.0,True,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,318,53,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,57,63,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,87,41,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,249,61,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,165,55,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,110,73,3,0.0410958904109589,0.004584030229820975,8.965012958163642,0.004570074348353969,0.18451675181479152,True,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,266,49,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,6,44,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,282,42,2,0.047619047619047616,0.004584030229820975,10.388030888030888,0.015856697098614727,0.5355791229469802,True,False,False,False
