dataset,method,seed,metric,observed,null_mean,null_sd,null_q95,empirical_p,z_score,empirical_p_bh_within_run
D17 Human_Kidney_Cancer,GARQ,1,hhi,0.08327246165084001,0.01688623082542002,0.0011388201164585798,0.018991964937910888,9.999000099990002e-05,58.29386912470697,0.00019998000199980003
D17 Human_Kidney_Cancer,GARQ,1,normalized_hhi,0.04801371017587232,0.001629740990657186,0.0006156004187147234,0.002736130541902421,9.999000099990002e-05,75.34752702419784,0.00019998000199980003
D17 Human_Kidney_Cancer,GARQ,2,max_purity,0.1527777777777778,0.06292897951957947,0.015855171208282556,0.09090909090909091,0.0008999100089991,5.666845036101683,0.0008999100089991
D17 Human_Kidney_Cancer,GARQ,2,max_fold_enrichment,33.32826576576577,13.72787184303475,3.4587841731798017,19.831695331695332,0.0008999100089991,5.666845036101683,0.0008999100089991
D17 Human_Kidney_Cancer,GARQ,2,top1_capture,0.14864864864864866,0.02542837837837838,0.01001605765182574,0.04054054054054054,9.999000099990002e-05,12.30227246623421,0.00014998500149985002
D17 Human_Kidney_Cancer,GARQ,2,top3_capture,0.44594594594594594,0.0689527027027027,0.017540323085223006,0.0945945945945946,9.999000099990002e-05,21.49294750225236,0.00014998500149985002
D17 Human_Kidney_Cancer,GARQ,2,hhi,0.09532505478451425,0.01682322863403945,0.0011148129021959301,0.01862673484295107,9.999000099990002e-05,70.4170412773694,0.00014998500149985002
D17 Human_Kidney_Cancer,GARQ,2,normalized_hhi,0.05763026540053568,0.0015937634409143352,0.0005850684248411771,0.0026783540297053827,9.999000099990002e-05,95.7776895494455,0.00014998500149985002
D17 Human_Kidney_Cancer,MetaQ,0,max_purity,0.7391304347826086,0.062162023463054265,0.016099215409530958,0.09090909090909091,9.999000099990002e-05,42.049776594627076,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,0,max_fold_enrichment,161.2403055229142,13.560561415730877,3.512022085892679,19.831695331695332,9.999000099990002e-05,42.04977659462707,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,0,top1_capture,0.22972972972972974,0.025025675675675676,0.010891852936816812,0.04054054054054054,9.999000099990002e-05,18.794235952462248,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,0,top3_capture,0.5675675675675675,0.07176351351351352,0.017346080467058714,0.10810810810810811,9.999000099990002e-05,28.5830597290043,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,0,hhi,0.1281957633308985,0.01674634769905041,0.0010819768416558812,0.018626734842951066,9.999000099990002e-05,103.00536142833099,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,0,normalized_hhi,0.09187058680301925,0.0015560394624254549,0.0005726214223337143,0.002550903944485032,9.999000099990002e-05,157.72121652822128,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,1,max_purity,0.6842105263157895,0.064769226486234,0.0170448831130969,0.1,9.999000099990002e-05,36.34177457946842,9.999000099990002e-05
