metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells,source_file
41,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
42,2,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
43,7,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
45,2,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
46,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
47,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
52,3,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
54,2,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
55,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
56,4,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
57,6,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
58,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
59,13,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
61,7,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
62,80,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
64,210,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
66,2,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
67,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
68,2,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
69,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
70,197,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
71,5,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
73,9,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
74,2,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
75,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
77,12,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
78,136,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
79,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
80,38,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
81,210,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
82,59,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
