dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery,source_file
D5,GARQ,0,instrumented_legacy,0.01,T-NK-B cell doublets,0.0265,Intermediate,53,0.4,0.6792452830188679,0.5034965034965035,2,0.3764838892029395,0.4,61.0,159.2,166.0,0.0,0.6792452830188679,0,0.0,0,0.0,revision_results/01_size_resolution/smoke/D5/K001_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.01,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,100.5,236.55,249.0,0.0,0.0,0,0.0,0,0.0,revision_results/01_size_resolution/smoke/D5/K001_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.01,gdT cells,0.04,Intermediate,80,0.3468208092485549,0.75,0.4743083003952568,1,0.3468208092485549,0.3468208092485549,117.0,538.4999999999999,603.0,0.0,0.75,0,0.0,0,0.0,revision_results/01_size_resolution/smoke/D5/K001_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.01,plasmacytoid DC,0.0055,Rare,11,0.875,0.6363636363636364,0.7368421052631579,1,0.875,0.875,29.0,152.29999999999998,166.0,0.0,0.6363636363636364,1,0.3333333333333333,1,0.3333333333333333,revision_results/01_size_resolution/smoke/D5/K001_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,CD4 and CD8 activated memory,0.0075,Rare,15,0.3333333333333333,0.0666666666666666,0.1111111111111111,1,0.3333333333333333,0.3333333333333333,27.5,188.6,197.0,0.0,0.0666666666666666,0,0.0,0,0.0,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,CD4 memory,0.0865,Intermediate,173,0.4304812834224599,0.930635838150289,0.5886654478976234,6,0.6342470661234024,0.4304812834224599,19.0,150.79999999999995,173.0,0.0115606936416184,0.930635838150289,4,0.3076923076923077,2,0.1538461538461538,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,CD4 naive I,0.0735,Intermediate,147,0.6021505376344086,0.3809523809523809,0.4666666666666667,6,0.605360282991862,0.6021505376344086,19.0,154.5,173.0,0.0,0.3809523809523809,5,0.4545454545454545,1,0.0909090909090909,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,CD4 naive II,0.018,Intermediate,36,1.0,0.0277777777777777,0.054054054054054,1,1.0,1.0,16.0,156.34999999999997,173.0,0.0277777777777777,0.0277777777777777,1,0.1,1,0.1,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,CD56bright CD16dim NK,0.0185,Intermediate,37,0.5,0.027027027027027,0.0512820512820512,1,0.5,0.5,57.0,194.5,210.0,0.0,0.027027027027027,0,0.0,0,0.0,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,CD56dim CD16bright NK,0.206,Common,412,0.7223198594024605,0.9975728155339806,0.8379204892966361,18,0.8281790328086625,0.7223198594024605,2.0,154.19999999999987,210.0,0.1189320388349514,0.9975728155339806,14,0.7368421052631579,13,0.6842105263157895,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,CD8 effector,0.06,Intermediate,120,0.8333333333333334,0.0416666666666666,0.0793650793650793,4,0.875,0.8333333333333334,10.5,201.55,210.0,0.0333333333333333,0.0416666666666666,3,0.2142857142857142,3,0.2142857142857142,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,CD8 memory,0.038,Intermediate,76,0.4571428571428571,0.2105263157894736,0.2882882882882883,4,0.4736111111111111,0.4571428571428571,25.0,183.8,197.0,0.0,0.2105263157894736,1,0.0833333333333333,0,0.0,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,CD8 naive,0.0385,Intermediate,77,0.4615384615384615,0.0779220779220779,0.1333333333333333,3,0.787878787878788,0.4615384615384615,16.0,152.64999999999998,173.0,0.0259740259740259,0.0779220779220779,2,0.1666666666666666,2,0.1666666666666666,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,Classical monocytes,0.1035,Common,207,0.6666666666666666,0.9758454106280192,0.7921568627450981,6,0.7394465894465894,0.6666666666666666,12.5,164.49999999999994,210.0,0.0241545893719806,0.9758454106280192,5,0.625,3,0.375,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,Erythroid ,0.005,Rare,10,1.0,0.7,0.8235294117647058,2,1.0,1.0,12.5,118.44999999999996,136.0,0.7,0.7,2,0.5,2,0.5,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,MAIT-NKT cells,0.045,Intermediate,90,0.357487922705314,0.8222222222222222,0.4983164983164982,6,0.8049915397631134,0.357487922705314,9.0,182.6,197.0,0.0888888888888888,0.8222222222222222,4,0.3076923076923077,4,0.3076923076923077,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,Memory B,0.0215,Intermediate,43,0.4666666666666667,0.3255813953488372,0.3835616438356165,2,0.7037037037037037,0.4666666666666667,26.0,114.2,136.0,0.0697674418604651,0.3255813953488372,1,0.2,1,0.2,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
D5,GARQ,0,instrumented_legacy,0.05,NK-T doublets,0.015,Intermediate,30,1.0,0.1,0.1818181818181818,1,1.0,1.0,13.5,204.15,210.0,0.1,0.1,1,0.1,1,0.1,revision_results/01_size_resolution/smoke/D5/K005_seed0/per_type_metrics_long.csv
