condition,dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
RNA_cell_permutation,D18,GARQ,2,diagnostic_variant_modality_noise,0.0199866755496335,B.Naive,0.1615393659129207,Common,4122,0.8999100314889789,0.97064531780689,0.9339402427637722,80,0.8980842573590528,0.8999100314889789,51.0,90.1,165.0,0.0012130033964095,0.97064531780689,80,0.8080808080808081,78,0.7878787878787878
RNA_cell_permutation,D18,GARQ,2,diagnostic_variant_modality_noise,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.0,0.0,0.0,0,,,53.0,64.9,66.0,0.0,0.0,0,0.0,0,0.0
RNA_cell_permutation,D18,GARQ,2,diagnostic_variant_modality_noise,0.0199866755496335,Mono.CD14,0.133597209703335,Common,3409,0.9587012247223012,0.9873863303021414,0.9728323699421966,71,0.959643588525244,0.9587012247223012,51.0,64.5,111.0,0.4661190965092402,0.9873863303021414,71,0.9342105263157896,69,0.9078947368421052
RNA_cell_permutation,D18,GARQ,2,diagnostic_variant_modality_noise,0.0199866755496335,Mono.CD16,0.0062311400242975,Rare,159,0.6730769230769231,0.440251572327044,0.532319391634981,2,0.6644270250093318,0.6730769230769231,55.0,63.05,64.0,0.0,0.440251572327044,2,0.1,1,0.05
RNA_cell_permutation,D18,GARQ,2,diagnostic_variant_modality_noise,0.0199866755496335,NK,0.0550221421013442,Intermediate,1404,0.9173884077281812,0.9807692307692308,0.9480206540447504,30,0.9150864212318752,0.9173884077281812,48.0,59.5,71.0,0.0334757834757834,0.9807692307692308,30,0.5882352941176471,30,0.5882352941176471
RNA_cell_permutation,D18,GARQ,2,diagnostic_variant_modality_noise,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.9777777777777776,0.6984126984126984,0.8148148148148148,1,0.9777777777777776,0.9777777777777776,51.0,58.3,61.0,0.0,0.6984126984126984,1,0.0526315789473684,1,0.0526315789473684
RNA_cell_permutation,D18,GARQ,2,diagnostic_variant_modality_noise,0.0199866755496335,T.CD4.Memory,0.2269467413880942,Common,5791,0.8905660377358491,0.6112933862890693,0.7249641613762031,83,0.8895929230177461,0.8905660377358491,49.0,60.0,76.0,0.0540493869797962,0.6112933862890693,81,0.2447129909365558,75,0.2265861027190332
RNA_cell_permutation,D18,GARQ,2,diagnostic_variant_modality_noise,0.0199866755496335,T.CD4.Naive,0.2074303405572755,Common,5293,0.7095934018231804,0.9265067069714716,0.8036709275647328,141,0.7109012052912105,0.7095934018231804,49.0,59.75,65.0,0.0001889287738522,0.9265067069714716,135,0.5973451327433629,83,0.3672566371681416
RNA_cell_permutation,D18,GARQ,2,diagnostic_variant_modality_noise,0.0199866755496335,T.CD8.Effector,0.113375396794294,Common,2893,0.8146795084689472,0.8479087452471483,0.8309620596205962,61,0.814266838100788,0.8146795084689472,50.0,60.0,75.0,0.0152091254752851,0.8479087452471483,60,0.2714932126696832,48,0.2171945701357466
RNA_cell_permutation,D18,GARQ,2,diagnostic_variant_modality_noise,0.0199866755496335,T.CD8.Naive,0.0586667711721597,Intermediate,1497,0.7958361316319678,0.7915831663326653,0.7937039517749497,29,0.7953401693576589,0.7958361316319678,49.5,61.0,65.0,0.0,0.7915831663326653,28,0.1647058823529411,28,0.1647058823529411
