variant,run,dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,Naive CD20+ B,0.0825,Intermediate,165,0.5664335664335665,0.9818181818181818,0.7184035476718404,5,0.5661056846274961,0.5664335664335665,61.0,125.0,128.0,0.0,0.9818181818181818,4,0.5714285714285714,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,Normoblast,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,7.0,222.1,246.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,63.0,395.75,485.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,Proerythroblast,0.0805,Intermediate,161,0.6463414634146342,0.9875776397515528,0.7813267813267813,1,0.6463414634146342,0.6463414634146342,31.0,224.5,246.0,0.0,0.9875776397515528,1,0.3333333333333333,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,Transitional B,0.0595,Intermediate,119,0.625,0.6722689075630253,0.6477732793522268,1,0.625,0.625,47.5,360.04999999999984,485.0,0.0,0.6722689075630253,1,0.125,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,cDC2,0.021,Intermediate,42,0.3333333333333333,0.0476190476190476,0.0833333333333333,1,0.3333333333333333,0.3333333333333333,24.5,70.39999999999999,77.0,0.0,0.0476190476190476,0,0.0,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,31.0,40.9,42.0,0.0,0.0,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,B1 B,0.0355,Intermediate,71,0.0,0.0,0.0,0,,,38.0,176.04999999999995,295.0,0.0,0.0,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,CD14+ Mono,0.054,Intermediate,108,0.6492537313432836,0.8055555555555556,0.7190082644628099,3,0.6545751633986928,0.6492537313432836,35.0,280.2,295.0,0.0,0.8055555555555556,3,0.3333333333333333,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,CD16+ Mono,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,29.0,73.75,85.0,0.0,0.0,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,CD4+ T activated,0.076,Intermediate,152,0.5,0.0131578947368421,0.0256410256410256,1,0.5,0.5,47.5,323.35,376.0,0.0,0.0131578947368421,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,CD4+ T naive,0.03,Intermediate,60,0.0,0.0,0.0,0,,,77.0,331.44999999999993,376.0,0.0,0.0,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,CD8+ T,0.4025,Common,805,0.6939313984168866,0.9801242236024844,0.8125643666323378,11,0.5928815783171034,0.6939313984168866,34.5,299.05000000000007,376.0,0.0,0.9801242236024844,6,0.3,4,0.2
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,Erythroblast,0.0225,Intermediate,45,0.0,0.0,0.0,0,,,160.0,248.2,258.0,0.0,0.0,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,63.0,218.0,258.0,0.0,0.0,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,HSC,0.0075,Rare,15,0.0,0.0,0.0,0,,,85.0,240.7,258.0,0.0,0.0,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,Lymph prog,0.034,Intermediate,68,0.4666666666666667,0.2058823529411764,0.2857142857142856,1,0.4666666666666667,0.4666666666666667,30.0,185.0,258.0,0.0,0.2058823529411764,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,MK/E prog,0.0165,Intermediate,33,0.5,0.0909090909090909,0.1538461538461538,1,0.5,0.5,9.0,209.2,258.0,0.0,0.0909090909090909,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,84.5,347.65,376.0,0.0,0.0,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,Naive CD20+ B,0.0825,Intermediate,165,0.4633431085043988,0.9575757575757576,0.6245059288537549,10,0.4905129516703383,0.4633431085043988,22.0,166.8999999999998,295.0,0.0,0.9575757575757576,3,0.2,1,0.0666666666666666
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,Normoblast,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,41.0,238.4,258.0,0.0,0.0,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,98.0,351.69999999999993,376.0,0.0,0.0,0,0.0,0,0.0
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,Proerythroblast,0.0805,Intermediate,161,0.5601503759398496,0.9254658385093169,0.6978922716627635,4,0.8052325581395349,0.5601503759398496,20.5,223.69999999999996,258.0,0.0124223602484472,0.9254658385093169,4,0.5,2,0.25
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,Transitional B,0.0595,Intermediate,119,0.6268656716417911,0.3529411764705882,0.4516129032258064,3,0.7475979305247598,0.6268656716417911,23.0,265.4,295.0,0.0336134453781512,0.3529411764705882,3,0.1764705882352941,1,0.0588235294117647
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,cDC2,0.021,Intermediate,42,0.4,0.1428571428571428,0.2105263157894736,2,0.6785714285714286,0.4,35.0,161.99999999999977,258.0,0.0238095238095238,0.1428571428571428,1,0.0769230769230769,1,0.0769230769230769
no_manual_reposition,D11_no_manual_reposition_smoke_seed1,D11,GARQ,1,diagnostic_variant_no_dynamic_update,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,140.0,246.2,258.0,0.0,0.0,0,0.0,0,0.0
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,B1 B,0.0355,Intermediate,71,0.0,0.0,0.0,0,,,150.0,430.19999999999993,489.0,0.0,0.0,0,0.0,0,0.0
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,CD14+ Mono,0.054,Intermediate,108,0.6597222222222222,0.8796296296296297,0.753968253968254,5,0.6606846846846846,0.6597222222222222,35.0,227.4,249.0,0.0,0.8796296296296297,4,0.4444444444444444,2,0.2222222222222222
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,CD16+ Mono,0.0105,Intermediate,21,0.5,0.0476190476190476,0.0869565217391304,1,0.5,0.5,25.0,158.69999999999993,195.0,0.0,0.0476190476190476,0,0.0,0,0.0
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,CD4+ T activated,0.076,Intermediate,152,0.5,0.006578947368421,0.0129870129870129,1,0.5,0.5,117.0,342.0,489.0,0.0,0.006578947368421,0,0.0,0,0.0
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,CD4+ T naive,0.03,Intermediate,60,0.0,0.0,0.0,0,,,136.5,380.9999999999998,489.0,0.0,0.0,0,0.0,0,0.0
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,CD8+ T,0.4025,Common,805,0.7319304666056725,0.9937888198757764,0.8429926238145415,10,0.7252377661962249,0.7319304666056725,40.0,287.3999999999995,489.0,0.0012422360248447,0.9937888198757764,8,0.6153846153846154,6,0.4615384615384615
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,Erythroblast,0.0225,Intermediate,45,0.3658536585365853,0.3333333333333333,0.3488372093023255,1,0.3658536585365853,0.3658536585365853,41.0,228.2,249.0,0.0,0.3333333333333333,0,0.0,0,0.0
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,35.5,205.25,249.0,0.0,0.0,0,0.0,0,0.0
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,HSC,0.0075,Rare,15,0.0,0.0,0.0,0,,,134.5,240.9,249.0,0.0,0.0,0,0.0,0,0.0
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,Lymph prog,0.034,Intermediate,68,0.5,0.2794117647058823,0.3584905660377359,3,0.4904761904761905,0.5,26.0,227.4,249.0,0.0,0.2794117647058823,1,0.1111111111111111,0,0.0
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,MK/E prog,0.0165,Intermediate,33,0.0,0.0,0.0,0,,,134.5,240.9,249.0,0.0,0.0,0,0.0,0,0.0
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,75.5,337.7999999999996,489.0,0.0,0.0,0,0.0,0,0.0
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,Naive CD20+ B,0.0825,Intermediate,165,0.4782608695652174,1.0,0.6470588235294118,2,0.4776923076923077,0.4782608695652174,172.5,192.75,195.0,0.0,1.0,0,0.0,0,0.0
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,Normoblast,0.0105,Intermediate,21,0.4285714285714285,0.1428571428571428,0.2142857142857142,2,0.6666666666666666,0.4285714285714285,6.0,207.4,249.0,0.0476190476190476,0.1428571428571428,1,0.2,1,0.2
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,172.5,444.8999999999999,489.0,0.0,0.0,0,0.0,0,0.0
