dataset,seed,implementation_tag,reference,inference_batch_size,cell_order_seed,cell_order,realized_K,wall_time_seconds,peak_gpu_allocated_bytes,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,Normoblast,0.0105,Intermediate,21,1.0,0.0952380952380952,0.1739130434782608,1,1.0,1.0,7.5,101.0,101.0,0.0952380952380952,0.0952380952380952,1,0.1666666666666666,1,0.1666666666666666
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,61.0,218.0,257.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,Proerythroblast,0.0805,Intermediate,161,0.5614973262032086,0.6521739130434783,0.603448275862069,5,0.5331860917184155,0.5614973262032086,34.0,157.99999999999997,196.0,0.0,0.6521739130434783,3,0.3333333333333333,1,0.1111111111111111
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,Transitional B,0.0595,Intermediate,119,0.5,0.0336134453781512,0.0629921259842519,1,0.5,0.5,30.5,244.4,257.0,0.0,0.0336134453781512,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,cDC2,0.021,Intermediate,42,0.6,0.0714285714285714,0.1276595744680851,1,0.6,0.6,46.0,241.75,257.0,0.0,0.0714285714285714,1,0.1666666666666666,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,102.0,186.6,196.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,0,permuted,40,0.849489213898778,419600384,2000,0.7657762907425125,0.7881056628731952,1.163251649169433,0.961048024012006,B1 B,0.0355,Intermediate,71,0.4285714285714285,0.1267605633802817,0.1956521739130434,4,0.4404761904761904,0.4285714285714285,22.5,214.35,254.0,0.0,0.1267605633802817,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,0,permuted,40,0.849489213898778,419600384,2000,0.7657762907425125,0.7881056628731952,1.163251649169433,0.961048024012006,CD14+ Mono,0.054,Intermediate,108,0.4147286821705426,0.9907407407407408,0.5846994535519126,3,0.6857471831565096,0.4147286821705426,34.5,173.49999999999994,193.0,0.0185185185185185,0.9907407407407408,2,0.5,2,0.5
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,0,permuted,40,0.849489213898778,419600384,2000,0.7657762907425125,0.7881056628731952,1.163251649169433,0.961048024012006,CD16+ Mono,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,72.0,180.9,193.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,0,permuted,40,0.849489213898778,419600384,2000,0.7657762907425125,0.7881056628731952,1.163251649169433,0.961048024012006,CD4+ T activated,0.076,Intermediate,152,0.6666666666666666,0.0263157894736842,0.050632911392405,1,0.6666666666666666,0.6666666666666666,72.0,289.9999999999998,389.0,0.0,0.0263157894736842,1,0.0769230769230769,0,0.0
