status,method,seed,realized_K,gene,protein,prespecified,pearson_r,spearman_rho,partial_pearson_r,partial_ci_low,partial_ci_high
PASS,KMeans,0,510,KLRG1,KLRG1,False,0.48062069636668026,0.47436678973864205,0.2591599385399516,0.18808849299007252,0.32990917685181453
PASS,KMeans,0,510,NCAM1,CD56,True,0.5951798030286413,0.32717756009943966,0.23465498478671634,0.12441508337377148,0.3215096640304764
PASS,KMeans,1,510,CD14,CD14,False,0.6095978481312374,0.36372130441639877,0.03846148689470732,-0.039171062883945174,0.10721952629175659
PASS,KMeans,1,510,CD19,CD19,False,0.9229493647373733,0.5874362443101244,0.005442173707785226,-0.05996510481510077,0.07606280429001881
PASS,KMeans,1,510,CD24,CD24,False,0.49477887433380313,0.3960263246110104,0.045240162244214524,-0.04613170237689,0.1311213154928746
PASS,KMeans,1,510,CD27,CD27,False,0.6221484828517024,0.6138759527786382,0.1240101851310655,0.04296538223639784,0.21865254853373592
PASS,KMeans,1,510,CD38,CD38,False,0.4526820756291107,0.5056407896861222,0.2542178002919196,0.16516812635591724,0.3434194842751587
PASS,KMeans,1,510,CD4,CD4,False,0.6761131096877776,0.6649544030125473,0.31285910323284016,0.1957123144898052,0.40200583969966375
PASS,KMeans,1,510,CD40,CD40,False,0.6970984122085971,0.5354334442945913,-0.00788080541377059,-0.10664773600446786,0.08976569450711296
PASS,KMeans,1,510,CD80,CD80,False,0.07808378425310541,0.07088741205038149,0.013787588638728754,-0.050781358159915885,0.0756247775108283
PASS,KMeans,1,510,CD86,CD86,False,0.5738651329346612,0.46259551475155763,0.12041893264189316,0.024495939180628083,0.20574360370582298
PASS,KMeans,1,510,CD8A,CD8a,True,0.6401388018299848,0.5627689538282286,0.2624428731384443,0.1710455735180363,0.33706175619603934
PASS,KMeans,1,510,FCGR3A,CD16,False,0.425919085003575,0.17454090426236163,0.20386379092490817,0.07024953231269059,0.29488313007962846
PASS,KMeans,1,510,IL2RA,CD25,False,0.1842729130126755,0.25150775824712807,0.15793489073276792,0.07203866606171341,0.2492476227547458
PASS,KMeans,1,510,IL7R,CD127,False,0.5484492710406582,0.6837336787920828,0.047729745955266106,-0.032444425645402626,0.12488899954378842
PASS,KMeans,1,510,KLRG1,KLRG1,False,0.494610070262969,0.4938338860906798,0.24760418323109468,0.18957496433140972,0.3112730150719334
PASS,KMeans,1,510,NCAM1,CD56,True,0.6125559487281589,0.33949691088592143,0.25463913769379315,0.15463300705571065,0.3401204867306606
PASS,KMeans,2,510,CD14,CD14,False,0.5888896797521841,0.30392777895841677,-0.00869753053783877,-0.09417532027272685,0.061630291086534256
PASS,KMeans,2,510,CD19,CD19,False,0.9235530695859795,0.6213975943578587,0.01365314955685019,-0.07358849656015896,0.09940188421756388
PASS,KMeans,2,510,CD24,CD24,False,0.5141983536509693,0.40209188901206333,0.08816196227073668,-0.0166775294881556,0.18546705463266192
PASS,KMeans,2,510,CD27,CD27,False,0.5972371241598216,0.6197263399960463,0.18369450264379564,0.10068564912837699,0.26851038704871344
PASS,KMeans,2,510,CD38,CD38,False,0.4641950673622138,0.5114061814578776,0.31104306142773364,0.22037805914295713,0.38494248878448983
PASS,KMeans,2,510,CD4,CD4,False,0.6959449721767551,0.6713947810566653,0.2506905032680277,0.153570579286469,0.3422129015213715
PASS,KMeans,2,510,CD40,CD40,False,0.7157958860557627,0.5592743823467564,-0.03552936315167774,-0.1322916231439173,0.056527446136368426
PASS,KMeans,2,510,CD80,CD80,False,0.08108816840763018,0.059441580222904904,0.02472372169863061,-0.04935152484168798,0.09430678086384572
PASS,KMeans,2,510,CD86,CD86,False,0.5588462006070566,0.4293729180642733,0.09033887125559593,0.0023677661614029005,0.1783713345658565
PASS,KMeans,2,510,CD8A,CD8a,True,0.6263976505906896,0.5573653789261509,0.24541532835792998,0.15652994728077083,0.31795197154199933
PASS,KMeans,2,510,FCGR3A,CD16,False,0.4532425483368491,0.26968374827507,0.21836470816999257,0.1111222456948603,0.3064354232451212
PASS,KMeans,2,510,IL2RA,CD25,False,0.15385107675560392,0.2619448203812348,0.11158786980295046,0.015974920470512452,0.21556706059204125
PASS,KMeans,2,510,IL7R,CD127,False,0.566748820470727,0.7023024130797879,0.08018066213682339,0.022991489537881257,0.13923769249778067
PASS,KMeans,2,510,KLRG1,KLRG1,False,0.4771147232911009,0.43508200569827066,0.17633305732444188,0.12006629218375062,0.22968980061105798
PASS,KMeans,2,510,NCAM1,CD56,True,0.6211704704717408,0.3687803202680027,0.2948490071066623,0.20481325034901027,0.3722107713840612
PASS,MetaQ,0,511,CD14,CD14,False,0.38070128394627506,0.19674536592929284,-0.05553668877945654,-0.14009104111298185,0.041733203689890426
PASS,MetaQ,0,511,CD19,CD19,False,0.7550239528780197,0.2644564551672109,0.1817730460055391,0.01323580932227587,0.33875615182011837
PASS,MetaQ,0,511,CD24,CD24,False,0.3469840795379341,0.24764019868900117,0.0003952118402970395,-0.12832461964639763,0.1374328355292159
PASS,MetaQ,0,511,CD27,CD27,False,0.5537363850204106,0.5529999385337087,0.10229022342468515,0.01355354058244956,0.18849460330947032
PASS,MetaQ,0,511,CD38,CD38,False,0.4133833656993388,0.4453525293343454,0.3227289474811583,0.24007765560516403,0.399379667125663
PASS,MetaQ,0,511,CD4,CD4,False,0.6931358794645414,0.6132725922597855,0.3217026195024004,0.17761997729289616,0.43731256360021986
PASS,MetaQ,0,511,CD40,CD40,False,0.47126281358873606,0.23595009262675326,0.04556528523738824,-0.06957323865714413,0.15556662020300743
PASS,MetaQ,0,511,CD80,CD80,False,-0.02488177461789372,-0.0225523646001471,-0.06933890219254611,-0.15830113813834423,0.024916179801885763
PASS,MetaQ,0,511,CD86,CD86,False,0.3287416812304603,0.22298796500299797,0.05808992541405492,-0.039527091711078266,0.14588619333116104
PASS,MetaQ,0,511,CD8A,CD8a,True,0.6712882993634358,0.6339282631194468,0.3024063000764488,0.1968493345093026,0.3939524686630965
PASS,MetaQ,0,511,FCGR3A,CD16,False,0.5312639696802497,0.32836160751687,0.31111803921762543,0.21652012083884786,0.40072523306934577
PASS,MetaQ,0,511,IL2RA,CD25,False,0.16789342777652524,0.23971724397867708,0.01941300348869669,-0.06663333986100721,0.10627273339608345
PASS,MetaQ,0,511,IL7R,CD127,False,0.6153195500773418,0.6135001190830588,0.13121575433608432,0.034472469161327166,0.22602120535424286
PASS,MetaQ,0,511,KLRG1,KLRG1,False,0.5233096642192369,0.5285607631928588,0.26784806963399477,0.19202935274057942,0.34329985831084464
PASS,MetaQ,0,511,NCAM1,CD56,True,0.7137341683937237,0.4140527946163034,0.3630873787661851,0.2728138223736676,0.45262672681391447
PASS,MetaQ,1,505,CD14,CD14,False,0.0971572312379412,-0.01898968742038943,0.0734959555279338,-0.024323328632853497,0.14688378485715176
PASS,MetaQ,1,505,CD19,CD19,False,0.5828793347707557,0.2963884315459898,0.11472527658101701,-0.03840470085143953,0.2563397169453603
PASS,MetaQ,1,505,CD24,CD24,False,0.33231735493092035,0.1595334952522513,0.13407511337175423,-0.012720069819161158,0.2662420164277476
PASS,MetaQ,1,505,CD27,CD27,False,0.43994236430842315,0.4664907335612459,0.10837409364858189,0.02400787606928439,0.1917338137576638
PASS,MetaQ,1,505,CD38,CD38,False,0.4003102754822009,0.4229580284215409,0.25931167043884545,0.16518167993854196,0.34077299003662204
PASS,MetaQ,1,505,CD4,CD4,False,0.729689731134536,0.6026159992886321,0.28866047921824217,0.18065318529480867,0.4028113386132797
PASS,MetaQ,1,505,CD40,CD40,False,0.43111627042169653,0.2368389889596672,-0.00831247221886645,-0.12230828668776236,0.11937259705521837
PASS,MetaQ,1,505,CD80,CD80,False,-0.029768033504032995,-0.02843058636996722,-0.12982913077132383,-0.22525425705011834,-0.027848988413051525
PASS,MetaQ,1,505,CD86,CD86,False,0.11061220827567136,0.06907758627354119,0.01759197167964103,-0.058790504473776616,0.10248114589571655
PASS,MetaQ,1,505,CD8A,CD8a,True,0.7029800456328554,0.6581835561341403,0.36521757548363626,0.26305818209802245,0.4569367025410983
PASS,MetaQ,1,505,FCGR3A,CD16,False,0.5396429673621306,0.25818338607715835,0.19710719778037378,0.07998352725083173,0.295646279812156
PASS,MetaQ,1,505,IL2RA,CD25,False,0.08147320009275456,0.24581014536405496,0.07248818496382095,-0.006763527263983541,0.15293907269779353
PASS,MetaQ,1,505,IL7R,CD127,False,0.6282631931240648,0.537960970718544,0.10618783148185566,0.01417411483124193,0.1916405292600831
PASS,MetaQ,1,505,KLRG1,KLRG1,False,0.5239415454747318,0.5035894845458176,0.2195910285743116,0.1466988871538105,0.2838065085630504
PASS,MetaQ,1,505,NCAM1,CD56,True,0.7239539290262139,0.41170369563965387,0.3563839831799244,0.24926988509178283,0.4511170891402948
PASS,MetaQ,2,517,CD14,CD14,False,0.25785662404673115,0.1098539514107605,-0.023389468251950707,-0.1143135056794529,0.07329074436682975
PASS,MetaQ,2,517,CD19,CD19,False,0.876207330345785,0.4500603044760263,0.024853580115012194,-0.06633030461272424,0.1358098943108286
PASS,MetaQ,2,517,CD24,CD24,False,0.49977118466333964,0.3789553373064036,0.06884274275814685,-0.03957667704084355,0.17185160314119885
PASS,MetaQ,2,517,CD27,CD27,False,0.47640362610791676,0.5103828120971703,0.13701686816403097,0.04575903933837976,0.219660236902007
PASS,MetaQ,2,517,CD38,CD38,False,0.45477514843154604,0.48915888167472477,0.23495177083921207,0.1384687927961038,0.3191107136300723
PASS,MetaQ,2,517,CD4,CD4,False,0.6778693308599673,0.590188157907024,0.2517705251164642,0.11832977771989854,0.3650052701587844
PASS,MetaQ,2,517,CD40,CD40,False,0.6743339089875374,0.377097000920798,0.025784535924789097,-0.06011257437558242,0.10917982662278702
PASS,MetaQ,2,517,CD80,CD80,False,0.09992153116865707,0.10358880828128944,0.08393110234202786,0.002204389540333868,0.15853797815814427
PASS,MetaQ,2,517,CD86,CD86,False,0.2822113748984617,0.19712533105112692,-0.010823760169033185,-0.10515377540413941,0.08551264634482349
PASS,MetaQ,2,517,CD8A,CD8a,True,0.6744385402808819,0.6420023356357069,0.32487917373423886,0.2319656381646987,0.4083133223330494
PASS,MetaQ,2,517,FCGR3A,CD16,False,0.5207492322492376,0.33668708904390915,0.3047413966481818,0.18341045176918988,0.3960626325156579
PASS,MetaQ,2,517,IL2RA,CD25,False,0.12270751877676069,0.21572233707971192,0.0645361786212341,-0.029290424354374987,0.15701892177657387
PASS,MetaQ,2,517,IL7R,CD127,False,0.5564946481265532,0.6313362103925246,-0.0006065047982390755,-0.08415001331237222,0.09654897860415083
PASS,MetaQ,2,517,KLRG1,KLRG1,False,0.5002647555674615,0.46741756415243246,0.2431409339478289,0.1775659104609199,0.30300479851642853
PASS,MetaQ,2,517,NCAM1,CD56,True,0.6996728974558095,0.38285238107659053,0.31624933988178494,0.219360941457875,0.4103634271303514
PASS,SEACells,0,510,CD14,CD14,False,0.6731942589096982,0.5006918087474119,0.13213925161100729,0.05500588461737435,0.2067893138381529
PASS,SEACells,0,510,CD19,CD19,False,0.8690607483645638,0.6323506694848733,0.21782098751913243,0.04822954059282518,0.357947664167895
PASS,SEACells,0,510,CD24,CD24,False,0.5025208897939897,0.443710633143647,0.09112005526062714,-0.023520415339518222,0.1932260122903505
PASS,SEACells,0,510,CD27,CD27,False,0.6362894684580535,0.6297930712995278,0.12834742387620804,0.022846596799881623,0.2248125784728368
PASS,SEACells,0,510,CD38,CD38,False,0.5511516951240018,0.5694568838681608,0.3104435648759271,0.2290685260800745,0.3911451107920555
PASS,SEACells,0,510,CD4,CD4,False,0.6631376916834507,0.7011778198520939,0.41299288303356957,0.3357976853198631,0.4840199233500849
PASS,SEACells,0,510,CD40,CD40,False,0.680652294739015,0.554846203308557,-0.05779183885037379,-0.14286441497560304,0.028403350969322873
PASS,SEACells,0,510,CD80,CD80,False,0.13218121021040058,0.13682082816075042,0.055267441332680065,-0.03443121418075611,0.13648779085076065
PASS,SEACells,0,510,CD86,CD86,False,0.6265520900160194,0.5149550666601979,0.005252946732649915,-0.08500856076801463,0.10873925837073302
PASS,SEACells,0,510,CD8A,CD8a,True,0.6676069098605705,0.6860351668589035,0.2698535834993256,0.19386215945178567,0.339371290859634
PASS,SEACells,0,510,FCGR3A,CD16,False,0.5444926084744807,0.3795021721633911,0.3928223934060149,0.2955730100974119,0.4704375684729315
PASS,SEACells,0,510,IL2RA,CD25,False,0.11792246296293128,0.20389109761339688,0.06990765086073851,-0.029443141685529008,0.1656717484354372
PASS,SEACells,0,510,IL7R,CD127,False,0.5506631361856593,0.7457178237931698,0.1192259056501908,0.025845203238921425,0.20113989435086044
PASS,SEACells,0,510,KLRG1,KLRG1,False,0.5650508960994708,0.6357233892288354,0.31391869892301727,0.2288848155682605,0.3969439985524758
PASS,SEACells,0,510,NCAM1,CD56,True,0.6981704652841155,0.5095946282776183,0.38563800976311047,0.2829304992297094,0.46716229206634513
PASS,SEACells,1,510,CD14,CD14,False,0.6358139595171844,0.41767596176532873,0.05768560322736432,-0.02321674996381003,0.12713779318494473
PASS,SEACells,1,510,CD19,CD19,False,0.9000359300147277,0.6323259655299502,0.1857628392393749,0.017169286009162954,0.31953336280481176
PASS,SEACells,1,510,CD24,CD24,False,0.4617481009758902,0.39851332817805335,0.020194834466911876,-0.09404800269709225,0.13159643258566828
PASS,SEACells,1,510,CD27,CD27,False,0.6236462076799698,0.6272739590532834,0.1320782821106361,0.03951646918746709,0.2289991154685554
PASS,SEACells,1,510,CD38,CD38,False,0.5194941265388439,0.5409381377363274,0.28863007956607917,0.20825145248284543,0.3684503137202739
PASS,SEACells,1,510,CD4,CD4,False,0.6858925811895984,0.7346828329158486,0.45184428517584374,0.363649499832114,0.5269297655506632
