dataset,seed,implementation_tag,reference,inference_batch_size,cell_order_seed,cell_order,realized_K,wall_time_seconds,peak_gpu_allocated_bytes,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,0,permuted,34,0.2747311512939632,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162,Regulatory T cells,0.0075,Rare,15,0.0,0.0,0.0,0,,,32.0,457.3999999999999,563.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,0,permuted,34,0.2747311512939632,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162,T-NK-B cell doublets,0.0265,Intermediate,53,1.0,0.16981132075471697,0.2903225806451613,1,1.0,1.0,43.5,205.29999999999993,248.0,0.16981132075471697,0.16981132075471697,1,0.125,1,0.125
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,0,permuted,34,0.2747311512939632,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162,conventional DC,0.0075,Rare,15,0.25,0.26666666666666666,0.2580645161290323,1,0.25,0.25,82.5,229.69999999999996,248.0,0.0,0.26666666666666666,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,0,permuted,34,0.2747311512939632,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162,gdT cells,0.04,Intermediate,80,0.5636363636363636,0.3875,0.45925925925925926,3,0.6706349206349206,0.5636363636363636,21.0,368.5,563.0,0.0125,0.3875,2,0.18181818181818182,1,0.09090909090909091
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,0,permuted,34,0.2747311512939632,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162,plasmacytoid DC,0.0055,Rare,11,1.0,0.6363636363636364,0.7777777777777778,1,1.0,1.0,11.5,15.549999999999999,16.0,0.6363636363636364,0.6363636363636364,1,0.5,1,0.5
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1,permuted,34,0.27952714264392853,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,33.5,483.79999999999984,563.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1,permuted,34,0.27952714264392853,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162,CD4 memory,0.0865,Intermediate,173,0.2632450331125828,0.9190751445086706,0.4092664092664093,4,0.4434026896726719,0.2632450331125828,11.0,404.5999999999996,563.0,0.005780346820809248,0.9190751445086706,1,0.14285714285714285,1,0.14285714285714285
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1,permuted,34,0.27952714264392853,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162,CD4 naive I,0.0735,Intermediate,147,0.49056603773584906,0.17687074829931973,0.26,3,0.524621212121212,0.49056603773584906,11.0,456.7999999999999,563.0,0.0,0.17687074829931973,1,0.2,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1,permuted,34,0.27952714264392853,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,33.5,483.79999999999984,563.0,0.0,0.0,0,0.0,0,0.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1,permuted,34,0.27952714264392853,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162,CD56bright CD16dim NK,0.0185,Intermediate,37,0.0,0.0,0.0,0,,,108.0,162.39999999999998,174.0,0.0,0.0,0,0.0,0,0.0
