dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery,representation
D5,MetaQ,0,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199950425514335,Treg,0.0016524828554903,Rare,20,0.0,0.0,0.0,0,,,1519.5,2742.15,2878.0,0.0,0.0,0,0.0,0,0.0,
D5,MetaQ,0,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199950425514335,cDC2,0.0152028422705114,Intermediate,184,0.7777777777777778,0.7989130434782609,0.7882037533512064,4,0.7414347749025169,0.7777777777777778,34.0,55.39999999999999,62.0,0.0,0.7989130434782609,3,0.125,2,0.0833333333333333,
D5,MetaQ,1,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199950425514335,Treg,0.0016524828554903,Rare,20,0.0,0.0,0.0,0,,,1456.5,2756.55,2901.0,0.0,0.0,0,0.0,0,0.0,
D5,MetaQ,1,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199950425514335,cDC2,0.0152028422705114,Intermediate,184,0.8662790697674418,0.8097826086956522,0.8370786516853933,3,0.8626794258373206,0.8662790697674418,54.0,62.6,65.0,0.0,0.8097826086956522,3,0.1764705882352941,3,0.1764705882352941,
D5,MetaQ,2,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199950425514335,Treg,0.0016524828554903,Rare,20,0.5882352941176471,0.5,0.5405405405405405,1,0.5882352941176471,0.5882352941176471,17.0,46.7,50.0,0.0,0.5,1,0.3333333333333333,0,0.0,
D5,MetaQ,2,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199950425514335,cDC2,0.0152028422705114,Intermediate,184,0.0,0.0,0.0,0,,,27.0,2541.799999999998,3413.0,0.0,0.0,0,0.0,0,0.0,
D5,SEACells,0,official_SEACells_fixed_equal_weight_representation,0.0199950425514335,Treg,0.0016524828554903,Rare,20,0.4090909090909091,0.45,0.4285714285714286,1,0.4090909090909091,0.4090909090909091,49.0,110.84999999999998,117.0,0.0,0.45,0,0.0,0,0.0,
D5,SEACells,0,official_SEACells_fixed_equal_weight_representation,0.0199950425514335,cDC2,0.0152028422705114,Intermediate,184,0.8232323232323232,0.8858695652173914,0.8534031413612565,4,0.8100006152331733,0.8232323232323232,54.0,144.7,158.0,0.358695652173913,0.8858695652173914,4,0.2666666666666666,2,0.1333333333333333,
D5,SEACells,1,official_SEACells_fixed_equal_weight_representation,0.0199950425514335,Treg,0.0016524828554903,Rare,20,0.0,0.0,0.0,0,,,69.5,72.65,73.0,0.0,0.0,0,0.0,0,0.0,
D5,SEACells,1,official_SEACells_fixed_equal_weight_representation,0.0199950425514335,cDC2,0.0152028422705114,Intermediate,184,0.8789473684210526,0.907608695652174,0.893048128342246,4,0.8378769667832168,0.8789473684210526,52.0,124.5,150.0,0.0,0.907608695652174,4,0.25,3,0.1875,
D5,SEACells,2,official_SEACells_fixed_equal_weight_representation,0.0199950425514335,Treg,0.0016524828554903,Rare,20,0.5483870967741935,0.85,0.6666666666666665,1,0.5483870967741935,0.5483870967741935,70.0,98.8,102.0,0.0,0.85,1,0.3333333333333333,0,0.0,
D5,SEACells,2,official_SEACells_fixed_equal_weight_representation,0.0199950425514335,cDC2,0.0152028422705114,Intermediate,184,0.93006993006993,0.7228260869565217,0.8134556574923547,2,0.9253246753246752,0.93006993006993,77.0,102.5,105.0,0.0,0.7228260869565217,2,0.1818181818181818,2,0.1818181818181818,
